legacy_va,legacy_name,legacy_namespace,target_rva,target_va,target_name,similarity,significance
0x47db66,Load,APC,0xe6dc0,0x4e6dc0,FUN_004e6dc0,0.5371,16.49
0x47dc80,PackTempState,APC,0x70f40,0x470f40,FUN_00470f40,0.8640,30.20
0x47dc80,PackTempState,APC,0x1ed6d0,0x5ed6d0,FUN_005ed6d0,0.5396,17.71
0x47dbab,PostLoad,APC,0xa82e0,0x4a82e0,FUN_004a82e0,0.5996,14.67
0x47dbb0,Save,APC,0xa7440,0x4a7440,FUN_004a7440,0.7767,22.18
0x47dbb0,Save,APC,0x617b0,0x4617b0,FUN_004617b0,0.6261,18.73
0x47dbb0,Save,APC,0x19ca70,0x59ca70,FUN_0059ca70,0.5371,16.49
0x47dbb0,Save,APC,0xe6f10,0x4e6f10,FUN_004e6f10,0.5371,16.49
0x47dbb0,Save,APC,0x781c0,0x4781c0,FUN_004781c0,0.5371,16.49
0x47dc3f,UnPackTempState,APC,0x70e90,0x470e90,FUN_00470e90,0.5790,22.36
0x47dc3f,UnPackTempState,APC,0x1afa70,0x5afa70,FUN_005afa70,0.5131,18.96
0x47dd44,`scalar_deleting_destructor',APC,0x404f30,0x804f30,FUN_00804f30,0.6490,12.30
0x47dd44,`scalar_deleting_destructor',APC,0x10d030,0x50d030,FUN_0050d030,0.6490,12.30
0x47dd44,`scalar_deleting_destructor',APC,0x41bae0,0x81bae0,FUN_0081bae0,0.6490,12.30
0x47dd44,`scalar_deleting_destructor',APC,0x30270,0x430270,FUN_00430270,0.6490,12.30
0x47dd44,`scalar_deleting_destructor',APC,0x8e920,0x48e920,FUN_0048e920,0.6490,12.30
0x40bd01,APCAttack,APCAttack,0x188970,0x588970,FUN_00588970,0.5474,19.23
0x40bd01,APCAttack,APCAttack,0x1b7080,0x5b7080,FUN_005b7080,0.5345,18.14
0x40bd01,APCAttack,APCAttack,0xa72a0,0x4a72a0,FUN_004a72a0,0.5317,14.18
0x40bd4d,CleanState,APCAttack,0x72060,0x472060,FUN_00472060,0.5178,15.40
0x40bd4d,CleanState,APCAttack,0x31bd50,0x71bd50,FUN_0071bd50,0.5126,10.93
0x40c072,DoState,APCAttack,0x720c0,0x4720c0,FUN_004720c0,0.5782,76.52
0x40bff3,InitState,APCAttack,0x71f40,0x471f40,FUN_00471f40,0.7589,53.58
0x40c1e4,`scalar_deleting_destructor',APCAttack,0x404f30,0x804f30,FUN_00804f30,0.6490,12.30
0x40c1e4,`scalar_deleting_destructor',APCAttack,0x10d030,0x50d030,FUN_0050d030,0.6490,12.30
0x40c1e4,`scalar_deleting_destructor',APCAttack,0x41bae0,0x81bae0,FUN_0081bae0,0.6490,12.30
0x40c1e4,`scalar_deleting_destructor',APCAttack,0x30270,0x430270,FUN_00430270,0.6490,12.30
0x40c1e4,`scalar_deleting_destructor',APCAttack,0x8e920,0x48e920,FUN_0048e920,0.6490,12.30
0x47e51f,APCClass,APCClass,0x70fd0,0x470fd0,FUN_00470fd0,0.7702,16.74
0x47e51f,APCClass,APCClass,0x10c140,0x50c140,FUN_0050c140,0.7708,16.25
0x47e51f,APCClass,APCClass,0x1f9350,0x5f9350,FUN_005f9350,0.6693,15.26
0x47e51f,APCClass,APCClass,0x1d15b0,0x5d15b0,FUN_005d15b0,0.7594,15.24
0x47e51f,APCClass,APCClass,0x1f1dd0,0x5f1dd0,FUN_005f1dd0,0.7605,15.13
0x47e78e,Build,APCClass,0x3fe2a0,0x7fe2a0,FUN_007fe2a0,0.5717,11.73
0x47e78e,Build,APCClass,0x43d8ce,0x83d8ce,Facet_Register,0.5218,11.33
0x47e78e,Build,APCClass,0xdfa20,0x4dfa20,FUN_004dfa20,0.5369,10.95
0x47e78e,Build,APCClass,0x1c5870,0x5c5870,FUN_005c5870,0.5177,10.45
0x47e78e,Build,APCClass,0x9b2d0,0x49b2d0,FUN_0049b2d0,0.5005,10.00
0x47e764,BuildClass,APCClass,0xdfa20,0x4dfa20,FUN_004dfa20,0.5131,11.20
0x47e764,BuildClass,APCClass,0x3fe2a0,0x7fe2a0,FUN_007fe2a0,0.5464,10.94
0x47e7b4,`scalar_deleting_destructor',APCClass,0x41daf0,0x81daf0,FUN_0081daf0,0.5011,9.15
0x47e7b4,`scalar_deleting_destructor',APCClass,0x165f0,0x4165f0,FUN_004165f0,0.5011,9.15
0x47e7b4,`scalar_deleting_destructor',APCClass,0x166d0,0x4166d0,FUN_004166d0,0.5011,9.15
0x47e7b4,`scalar_deleting_destructor',APCClass,0x16910,0x416910,FUN_00416910,0.5011,9.15
0x47e7b4,`scalar_deleting_destructor',APCClass,0x18ec0,0x418ec0,FUN_00418ec0,0.5011,9.15
0x40bfba,`scalar_deleting_destructor',APCEnemy,0x404f30,0x804f30,FUN_00804f30,0.6490,12.30
0x40bfba,`scalar_deleting_destructor',APCEnemy,0x10d030,0x50d030,FUN_0050d030,0.6490,12.30
