redux_va,applied_name,namespace,combined_confidence,similarity,significance,legacy_va,status
0x835df5,match_capture,Global,very_high,0.6638,43.59,0x5c03ae,applied
0x83600d,push_captures,Global,very_high,0.8927,30.95,0x5c072b,applied
0x836056,push_onecapture,Global,very_high,0.7294,42.48,0x5c06b9,applied
0x8360d9,scanformat,Global,very_high,1.0000,128.83,0x5c0df7,applied
0x8361e7,start_capture,Global,very_high,1.0000,41.49,0x5c0320,applied
0x836232,str_find_aux,Global,very_high,0.6002,75.64,0x5c0774,applied
0x836a83,math_random,Global,very_high,0.5815,60.94,0x5bf997,applied
0x836dc2,db_gethook,Global,very_high,0.6477,48.32,0x5bf0ce,applied
0x836e87,db_debug,Global,very_high,0.6540,58.38,0x5bf195,applied
0x8371eb,db_setmetatable,Global,very_high,1.0000,28.11,0x5be9a4,applied
0x837254,db_setfenv,Global,very_high,1.0000,21.86,0x5bea08,applied
0x8376eb,hookf,Global,high,0.9811,41.97,0x5beed3,applied
0x837783,makemask,Global,high,1.0000,42.78,0x5bef4b,applied
0x837948,loader_Croot,Global,very_high,0.5199,25.71,0x5c1ec8,applied
0x8379d8,loader_preload,Global,very_high,0.9459,32.73,0x5c1f55,applied
0x837a47,ll_require,Global,very_high,0.9426,93.61,0x5c1fc1,applied
0x837be8,ll_module,Global,very_high,0.9022,71.82,0x5c2263,applied
0x837cea,ll_seeall,Global,very_high,1.0000,26.84,0x5c235d,applied
0x837d46,findfile,Global,very_high,0.7648,75.27,0x5c1c9e,applied
0x837e65,gctm,Global,very_high,0.9537,20.68,0x5c1b3f,applied
0x837e92,ll_loadfunc,Global,high,1.0000,48.88,0x5c1b69,applied
0x83810b,mkfuncname,Global,very_high,0.5952,15.19,0x5c1e2d,applied
0x838159,modinit,Global,very_high,1.0000,32.50,0x5c220a,applied
0x8381c0,pusherror,Global,very_high,0.7735,20.89,0x5c19fb,applied
0x838231,setfenv,Global,very_high,0.9014,37.06,0x5c2158,applied
0x838317,setprogdir,Global,very_high,0.7412,30.89,0x5c196b,applied
0x8387f7,luaM_growaux_,Global,high,1.0000,49.20,0x5bd6ab,applied
0x83893c,inclinenumber,Global,very_high,1.0000,84.74,0x5bd934,applied
0x8389c5,llex,Global,very_high,0.9228,303.72,0x5be041,applied
0x838eb8,luaX_init,Global,high,1.0000,50.87,0x5bd783,applied
0x838fac,luaX_newstring,Global,high,1.0000,42.95,0x5bd8e4,applied
0x839110,read_long_string,Global,very_high,0.9070,164.51,0x5bdc5c,applied
0x8393b8,read_string,Global,very_high,0.8882,194.30,0x5bde09,applied
0x839600,save,Global,very_high,0.9960,58.12,0x5bd71d,applied
0x8396f7,trydecpoint,Global,very_high,0.6613,28.78,0x5bda9a,applied
0x83975c,adjust_assign,Global,high,0.9862,55.10,0x5c3977,applied
0x8397cc,adjustlocalvars,Global,very_high,1.0000,50.90,0x5c36d3,applied
0x839a51,breakstat,Global,very_high,0.9643,66.06,0x5c4a0c,applied
0x839ad3,check_conflict,Global,high,1.0000,65.66,0x5c486a,applied
0x839c1c,close_func,Global,high,0.9980,155.96,0x5c3bf2,applied
0x83a034,enterlevel,Global,very_high,0.9625,22.59,0x5c39da,applied
0x83a089,errorlimit,Global,very_high,0.6777,19.87,0x5c34b8,applied
0x83a4e0,forstat,Global,very_high,0.7003,26.43,0x5c4e99,applied
0x83a565,funcargs,Global,very_high,0.8817,82.42,0x5c42fc,applied
0x83a84e,indexupvalue,Global,high,0.9726,126.22,0x5c373a,applied
0x83abfa,open_func,Global,high,1.0000,84.11,0x5c3b43,applied
0x83ad61,primaryexp,Global,very_high,0.6935,43.72,0x5c446d,applied
0x83b012,registerlocalvar,Global,very_high,0.9985,85.10,0x5c35fc,applied
0x83b250,simpleexp,Global,very_high,0.9066,81.23,0x5c4589,applied
0x83b3a9,singlevaraux,Global,high,1.0000,120.40,0x5c3883,applied
0x83b798,LoadBlock,Global,very_high,1.0000,19.88,0x5c54ce,applied
0x83b7e1,LoadConstants,Global,very_high,0.9954,173.98,0x5c55eb,applied
0x83bac1,LoadFunction,Global,very_high,0.7583,94.70,0x5c5887,applied
0x83bbeb,LoadInt,Global,very_high,1.0000,18.04,0x5c550f,applied
0x83bd73,addk,Global,very_high,0.9409,101.74,0x5c5d47,applied
0x83c362,fixjump,Global,very_high,0.9702,41.28,0x5c5af2,applied
0x83c4ff,luaK_checkstack,Global,very_high,1.0000,34.91,0x5c5ccd,applied
0x83c537,luaK_code,Global,very_high,0.9377,54.27,0x5c6086,applied
0x83cef1,luaK_storevar,Global,high,1.0000,55.97,0x5c66b1,applied
0x83f040,_ftol2_sse,Global,high,1.0000,78.45,0x5c6e10,applied
0x83f076,_ftol2,Global,high,1.0000,69.61,0x5c6e46,applied
0x83f290,_FindPESection,Global,high,1.0000,56.36,0x5c7a10,applied
0x844250,_alldiv,Global,high,1.0000,158.41,0x5c7540,applied
0x844490,_allshl,Global,high,1.0000,40.66,0x5c7630,applied
