api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
IsAlly,0x5d151c,0x5d20e8,0x4179a2,0x179a2,IsAlly,true
SetObjectiveOn,0x5d150c,0x5d20f0,0x417a3d,0x17a3d,SetObjectiveOn,true
SetObjectiveOff,0x5d14fc,0x5d20f8,0x417a54,0x17a54,SetObjectiveOff,true
GetObjectiveName,0x5d14d4,0x5d2108,0x417a94,0x17a94,GetObjectiveName,true
SetObjectiveName,0x5d14e8,0x5d2100,0x417a6b,0x17a6b,SetObjectiveName,true
SetName,,,,,,MISSING
GetDistance,0x5d14a8,0x5d2128,0x417b1e,0x17b1e,GetDistance,true
IsWithin,0x5d149c,0x5d2130,0x417bda,0x17bda,IsWithin,true
IsTouching,,,,,,MISSING
GetNearestObject,0x5d143c,0x5d2160,0x417c45,0x17c45,GetNearestObject,true
GetNearestVehicle,0x5d1428,0x5d2168,0x417cea,0x17cea,GetNearestVehicle,true
GetNearestBuilding,0x5d1414,0x5d2170,0x417d8f,0x17d8f,GetNearestBuilding,true
GetNearestEnemy,0x5d1404,0x5d2178,0x417e34,0x17e34,GetNearestEnemy,true
GetNearestFriend,,,,,,MISSING
GetNearestUnitOnTeam,,,,,,MISSING
CountUnitsNearObject,0x5d13ec,0x5d2180,0x417ed9,0x17ed9,CountUnitsNearObject,true
AllCraft,0x5d1484,0x5d2140,0x41cdbc,0x1cdbc,AllCraft,true
ObjectsInRange,0x5d1474,0x5d2148,0x41ceb0,0x1ceb0,ObjectsInRange,true
AllObjects,0x5d1490,0x5d2138,0x41cd24,0x1cd24,AllObjects,true
SelectedObjects,0x5d1464,0x5d2150,0x41bfe2,0x1bfe2,SelectedObjects,true
ObjectiveObjects,0x5d1450,0x5d2158,0x41c06f,0x1c06f,ObjectiveObjects,true
GetRidOfSomeScrap,0x5d13d8,0x5d2188,0x417f34,0x17f34,GetRidOfSomeScrap,true
ClearScrapAround,0x5d13c4,0x5d2190,0x417f50,0x17f50,ClearScrapAround,true
GetTeamSlot,0x5d1908,0x5d1eb0,0x416d95,0x16d95,GetTeamSlot,true
GetPlayerHandle,0x5d1914,0x5d1ea8,0x416d5c,0x16d5c,GetPlayerHandle,true
GetRecyclerHandle,0x5d18f4,0x5d1eb8,0x416dde,0x16dde,GetRecyclerHandle,true
GetFactoryHandle,0x5d18e0,0x5d1ec0,0x416e1a,0x16e1a,GetFactoryHandle,true
GetArmoryHandle,0x5d18d0,0x5d1ec8,0x416e58,0x16e58,GetArmoryHandle,true
GetConstructorHandle,0x5d18b8,0x5d1ed0,0x416e96,0x16e96,GetConstructorHandle,true
AddPilot,0x5d13b8,0x5d2198,0x418007,0x18007,AddPilot,true
SetPilot,0x5d13ac,0x5d21a0,0x418036,0x18036,SetPilot,true
GetPilot,0x5d13a0,0x5d21a8,0x418065,0x18065,GetPilot,true
AddMaxPilot,0x5d1394,0x5d21b0,0x418087,0x18087,AddMaxPilot,true
SetMaxPilot,0x5d1388,0x5d21b8,0x4180b6,0x180b6,SetMaxPilot,true
GetMaxPilot,0x5d137c,0x5d21c0,0x4180e5,0x180e5,GetMaxPilot,true
AddScrap,0x5d1370,0x5d21c8,0x418107,0x18107,AddScrap,true
SetScrap,0x5d1364,0x5d21d0,0x418136,0x18136,SetScrap,true
GetScrap,0x5d1358,0x5d21d8,0x418165,0x18165,GetScrap,true
AddMaxScrap,0x5d134c,0x5d21e0,0x418187,0x18187,AddMaxScrap,true
SetMaxScrap,0x5d1340,0x5d21e8,0x4181b6,0x181b6,SetMaxScrap,true
GetMaxScrap,0x5d1334,0x5d21f0,0x4181e5,0x181e5,GetMaxScrap,true
IsDeployed,0x5d1328,0x5d21f8,0x418207,0x18207,IsDeployed,true
Deploy,0x5d1320,0x5d2200,0x41822c,0x1822c,Deploy,true
IsSelected,0x5d1314,0x5d2208,0x418243,0x18243,IsSelected,true
IsCritical,,,,,,MISSING
SetCritical,,,,,,MISSING
SetWeaponMask,0x5d1304,0x5d2210,0x418268,0x18268,SetWeaponMask,true
GiveWeapon,0x5d12f8,0x5d2218,0x41828f,0x1828f,GiveWeapon,true
GetWeaponClass,0x5d1898,0x5d1ee8,0x41b8a1,0x1b8a1,GetWeaponClass,true
FireAt,0x5d12f0,0x5d2220,0x4182f1,0x182f1,FireAt,true
Damage,0x5d12e8,0x5d2228,0x418318,0x18318,Damage,true
GetTime,0x5d14cc,0x5d2110,0x417abf,0x17abf,GetTime,true
GetTimeStep,0x5d14b4,0x5d2120,0x417b04,0x17b04,GetTimeStep,true
GetTimeNow,0x5d14c0,0x5d2118,0x417ad9,0x17ad9,GetTimeNow,true
SetAIControl,0x5d12d8,0x5d2230,0x41833f,0x1833f,SetAIControl,true
Enables,,,,,,MISSING
GetAIControl,,,,,,MISSING
GetAIP,0x5d12c8,0x5d2240,0x4183ae,0x183ae,GetAIP,true
SetAIP,0x5d12d0,0x5d2238,0x418383,0x18383,SetAIP,true
FailMission,0x5d12bc,0x5d2248,0x4183db,0x183db,FailMission,true
SucceedMission,0x5d12ac,0x5d2250,0x418410,0x18410,SucceedMission,true
ClearObjectives,0x5d129c,0x5d2258,0x418445,0x18445,ClearObjectives,true
AddObjective,0x5d128c,0x5d2260,0x4184fb,0x184fb,AddObjective,true
UpdateObjective,0x5d127c,0x5d2268,0x41854f,0x1854f,UpdateObjective,true
RemoveObjective,0x5d126c,0x5d2270,0x4185a3,0x185a3,RemoveObjective,true
StartCockpitTimer,0x5d1258,0x5d2278,0x4185c1,0x185c1,StartCockpitTimer,true
StartCockpitTimerUp,0x5d1244,0x5d2280,0x4185fe,0x185fe,StartCockpitTimerUp,true
StopCockpitTimer,0x5d1230,0x5d2288,0x41863b,0x1863b,StopCockpitTimer,true
HideCockpitTimer,0x5d121c,0x5d2290,0x418645,0x18645,HideCockpitTimer,true
GetCockpitTimer,0x5d120c,0x5d2298,0x418652,0x18652,GetCockpitTimer,true
StartEarthquake,0x5d11fc,0x5d22a0,0x418667,0x18667,StartEarthquake,true
UpdateEarthQuake,0x5d11e8,0x5d22a8,0x41867f,0x1867f,UpdateEarthQuake,true
StopEarthquake,0x5d11d8,0x5d22b0,0x418697,0x18697,StopEarthquake,true
SetPathType,,,,,,MISSING
GetPathType,,,,,,MISSING
SetPathOneWay,0x5d11c8,0x5d22b8,0x4186a4,0x186a4,SetPathOneWay,true
SetPathRoundTrip,0x5d11b4,0x5d22c0,0x4186bf,0x186bf,SetPathRoundTrip,true
SetPathLoop,0x5d11a8,0x5d22c8,0x4186da,0x186da,SetPathLoop,true
GetPathPointCount,,,,,,MISSING
GetWindingNumber,,,,,,MISSING
IsInsideArea,,,,,,MISSING
CanCommand,0x5d119c,0x5d22d0,0x4186f5,0x186f5,CanCommand,true
CanBuild,0x5d1190,0x5d22d8,0x41871a,0x1871a,CanBuild,true
IsBusy,0x5d1188,0x5d22e0,0x41873f,0x1873f,IsBusy,true
GetCurrentCommand,0x5d1174,0x5d22e8,0x418764,0x18764,GetCurrentCommand,true
GetCurrentWho,0x5d1164,0x5d22f0,0x418786,0x18786,GetCurrentWho,true
GetIndependence,0x5d1144,0x5d2300,0x4187cf,0x187cf,GetIndependence,true
SetIndependence,0x5d1154,0x5d22f8,0x4187a8,0x187a8,SetIndependence,true
SetCommand,0x5d1138,0x5d2308,0x41c091,0x1c091,SetCommand,true
Attack,0x5d1130,0x5d2310,0x4187f1,0x187f1,Attack,true
Goto,0x5d1128,0x5d2318,0x418827,0x18827,Goto,true
Mine,0x5d1120,0x5d2320,0x4188d7,0x188d7,Mine,true
Follow,0x5d1118,0x5d2328,0x418971,0x18971,Follow,true
IsFollowing,,,,,,MISSING
Defend,0x5d1110,0x5d2330,0x4189a7,0x189a7,Defend,true
Defend2,0x5d1108,0x5d2338,0x4189d0,0x189d0,Defend2,true
Stop,0x5d1100,0x5d2340,0x418a06,0x18a06,Stop,true
Patrol,0x5d10f8,0x5d2348,0x418a2f,0x18a2f,Patrol,true
Retreat,0x5d10f0,0x5d2350,0x418a67,0x18a67,Retreat,true
GetIn,0x5d10e8,0x5d2358,0x418ac3,0x18ac3,GetIn,true
Pickup,0x5d10e0,0x5d2360,0x418af9,0x18af9,Pickup,true
Dropoff,0x5d10d8,0x5d2368,0x418b2f,0x18b2f,Dropoff,true
Build,0x5d10d0,0x5d2370,0x418b9b,0x18b9b,Build,true
BuildAt,0x5d10c8,0x5d2378,0x418bd3,0x18bd3,BuildAt,true
Formation,,,,,,MISSING
Hunt,,,,,,MISSING
HasCargo,0x5d10bc,0x5d2380,0x418c87,0x18c87,HasCargo,true
GetCargo,,,,,,MISSING
GetTug,0x5d0fe4,0x5d2410,0x418ef7,0x18ef7,GetTug,true
EjectPilot,0x5d10b0,0x5d2388,0x418cac,0x18cac,EjectPilot,true
HopOut,0x5d10a8,0x5d2390,0x418cc3,0x18cc3,HopOut,true
