api_name,legacy_name,legacy_va,redux_va,source
ClearScrapAround,ClearScrapAround,0x417f50,0x502ea0,regtable+1.5
GetTeamSlot,GetTeamSlot,0x416d95,0x4ffd30,regtable+1.5
GetPlayerHandle,GetPlayerHandle,0x416d5c,0x4ffcd0,regtable+1.5
GetRecyclerHandle,GetRecyclerHandle,0x416dde,0x4ffdb0,regtable+1.5
GetFactoryHandle,GetFactoryHandle,0x416e1a,0x4ffe20,regtable+1.5
GetArmoryHandle,GetArmoryHandle,0x416e58,0x4ffe90,regtable+1.5
GetConstructorHandle,GetConstructorHandle,0x416e96,0x4fff00,regtable+1.5
AddPilot,AddPilot,0x418007,0x502fe0,regtable+1.5
SetPilot,SetPilot,0x418036,0x503030,regtable+1.5
GetPilot,GetPilot,0x418065,0x503080,regtable+1.5
AddMaxPilot,AddMaxPilot,0x418087,0x5030c0,regtable+1.5
SetMaxPilot,SetMaxPilot,0x4180b6,0x503110,regtable+1.5
GetMaxPilot,GetMaxPilot,0x4180e5,0x503160,regtable+1.5
AddScrap,AddScrap,0x418107,0x5031a0,regtable+1.5
SetScrap,SetScrap,0x418136,0x5031f0,regtable+1.5
GetScrap,GetScrap,0x418165,0x503240,regtable+1.5
AddMaxScrap,AddMaxScrap,0x418187,0x503280,regtable+1.5
SetMaxScrap,SetMaxScrap,0x4181b6,0x5032d0,regtable+1.5
GetMaxScrap,GetMaxScrap,0x4181e5,0x503320,regtable+1.5
IsDeployed,IsDeployed,0x418207,0x503360,regtable+1.5
Deploy,Deploy,0x41822c,0x5033a0,regtable+1.5
IsSelected,IsSelected,0x418243,0x5033d0,regtable+1.5
IsCritical,,,0x503410,regtable_reduxonly
SetCritical,,,0x503450,regtable_reduxonly
SetWeaponMask,SetWeaponMask,0x418268,0x5034e0,regtable+1.5
GiveWeapon,GiveWeapon,0x41828f,0x503520,regtable+1.5
GetWeaponClass,GetWeaponClass,0x41b8a1,0x500060,regtable+1.5
FireAt,FireAt,0x4182f1,0x5035c0,regtable+1.5
Damage,Damage,0x418318,0x503600,regtable+1.5
GetTime,GetTime,0x417abf,0x501f20,regtable+1.5
GetTimeStep,GetTimeStep,0x417b04,0x501f90,regtable+1.5
GetTimeNow,GetTimeNow,0x417ad9,0x501f50,regtable+1.5
SetAIControl,SetAIControl,0x41833f,0x503650,regtable+1.5
GetAIControl,,,0x5036c0,regtable_reduxonly
GetAIP,GetAIP,0x4183ae,0x503750,regtable+1.5
SetAIP,SetAIP,0x418383,0x503700,regtable+1.5
FailMission,FailMission,0x4183db,0x5037a0,regtable+1.5
SucceedMission,SucceedMission,0x418410,0x5037f0,regtable+1.5
ClearObjectives,ClearObjectives,0x418445,0x503920,regtable+1.5
AddObjective,AddObjective,0x4184fb,0x503a40,regtable+1.5
UpdateObjective,UpdateObjective,0x41854f,0x503ae0,regtable+1.5
RemoveObjective,RemoveObjective,0x4185a3,0x503b80,regtable+1.5
StartCockpitTimer,StartCockpitTimer,0x4185c1,0x503bb0,regtable+1.5
StartCockpitTimerUp,StartCockpitTimerUp,0x4185fe,0x503c10,regtable+1.5
StopCockpitTimer,StopCockpitTimer,0x41863b,0x503c70,regtable+1.5
HideCockpitTimer,HideCockpitTimer,0x418645,0x503c80,regtable+1.5
GetCockpitTimer,GetCockpitTimer,0x418652,0x503c90,regtable+1.5
StartEarthquake,StartEarthquake,0x418667,0x503cc0,regtable+1.5
UpdateEarthQuake,UpdateEarthQuake,0x41867f,0x503cf0,regtable+1.5
StopEarthquake,StopEarthquake,0x418697,0x503d20,regtable+1.5
SetPathType,,,0x503d70,regtable_reduxonly
GetPathType,,,0x503d30,regtable_reduxonly
SetPathOneWay,SetPathOneWay,0x4186a4,0x503db0,regtable+1.5
SetPathRoundTrip,SetPathRoundTrip,0x4186bf,0x503de0,regtable+1.5
SetPathLoop,SetPathLoop,0x4186da,0x503e10,regtable+1.5
GetPathPointCount,,,0x503e40,regtable_reduxonly
GetWindingNumber,,,0x503e80,regtable_reduxonly
IsInsideArea,,,0x503f80,regtable_reduxonly
CanCommand,CanCommand,0x4186f5,0x504070,regtable+1.5
CanBuild,CanBuild,0x41871a,0x5040b0,regtable+1.5
IsBusy,IsBusy,0x41873f,0x5040f0,regtable+1.5
GetCurrentCommand,GetCurrentCommand,0x418764,0x504130,regtable+1.5
GetCurrentWho,GetCurrentWho,0x418786,0x504170,regtable+1.5
GetIndependence,GetIndependence,0x4187cf,0x5041f0,regtable+1.5
SetIndependence,SetIndependence,0x4187a8,0x5041b0,regtable+1.5
SetCommand,SetCommand,0x41c091,0x504230,regtable+1.5
Attack,Attack,0x4187f1,0x504440,regtable+1.5
Goto,Goto,0x418827,0x5044a0,regtable+1.5
Mine,Mine,0x4188d7,0x5045d0,regtable+1.5
Follow,Follow,0x418971,0x5046c0,regtable+1.5
IsFollowing,,,0x5078d0,regtable_reduxonly
Defend,Defend,0x4189a7,0x504720,regtable+1.5
Defend2,Defend2,0x4189d0,0x504760,regtable+1.5
Stop,Stop,0x418a06,0x5047c0,regtable+1.5
Patrol,Patrol,0x418a2f,0x504800,regtable+1.5
Retreat,Retreat,0x418a67,0x504860,regtable+1.5
GetIn,GetIn,0x418ac3,0x5048f0,regtable+1.5
Pickup,Pickup,0x418af9,0x504950,regtable+1.5
Dropoff,Dropoff,0x418b2f,0x5049b0,regtable+1.5
Build,Build,0x418b9b,0x504a70,regtable+1.5
BuildAt,BuildAt,0x418bd3,0x504ad0,regtable+1.5
Formation,,,0x5079b0,regtable_reduxonly
Hunt,,,0x507380,regtable_reduxonly
HasCargo,HasCargo,0x418c87,0x504be0,regtable+1.5
GetCargo,,,0x507930,regtable_reduxonly
GetTug,GetTug,0x418ef7,0x505050,regtable+1.5
EjectPilot,EjectPilot,0x418cac,0x504c20,regtable+1.5
HopOut,HopOut,0x418cc3,0x504c50,regtable+1.5
KillPilot,KillPilot,0x418cda,0x504c80,regtable+1.5
RemovePilot,RemovePilot,0x418cf1,0x504cb0,regtable+1.5
HoppedOutOf,HoppedOutOf,0x418d08,0x504ce0,regtable+1.5
GetHealth,GetHealth,0x418d29,0x504d20,regtable+1.5
GetCurHealth,GetCurHealth,0x418d4e,0x504d60,regtable+1.5
GetMaxHealth,GetMaxHealth,0x418d73,0x504da0,regtable+1.5
SetCurHealth,SetCurHealth,0x418d98,0x504de0,regtable+1.5
SetMaxHealth,SetMaxHealth,0x418dc3,0x504e30,regtable+1.5
AddHealth,AddHealth,0x418dee,0x504e80,regtable+1.5
GiveMaxHealth,,,0x5076e0,regtable_reduxonly
GetAmmo,GetAmmo,0x418e19,0x504ed0,regtable+1.5
GetCurAmmo,GetCurAmmo,0x418e3e,0x504f10,regtable+1.5
GetMaxAmmo,GetMaxAmmo,0x418e60,0x504f50,regtable+1.5
SetCurAmmo,SetCurAmmo,0x418e82,0x504f90,regtable+1.5
