module_name,object_name,stream,symbol_size,source_file_count,range_section,range_offset,range_size,flags
E:\BattleZoneTest\build\obj\Release\battlezone\CameraPod.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CameraPod.obj,95,1844,14,1,221024,301,0
E:\BattleZoneTest\build\obj\Release\battlezone\CameraPodClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CameraPodClass.obj,96,2792,10,1,221696,288,0
E:\BattleZoneTest\build\obj\Release\battlezone\Cannon.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Cannon.obj,97,3780,15,1,222224,180,0
E:\BattleZoneTest\build\obj\Release\battlezone\CannonClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CannonClass.obj,98,3072,9,1,224752,358,0
E:\BattleZoneTest\build\obj\Release\battlezone\CellType.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CellType.obj,99,1372,11,1,225392,236,0
E:\BattleZoneTest\build\obj\Release\battlezone\ChargeGun.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ChargeGun.obj,100,2848,17,1,225824,141,0
E:\BattleZoneTest\build\obj\Release\battlezone\ChargeGunClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ChargeGunClass.obj,101,7804,16,1,228272,1718,0
E:\BattleZoneTest\build\obj\Release\battlezone\ChunkEffect.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ChunkEffect.obj,102,10580,19,1,5728,32,0
E:\BattleZoneTest\build\obj\Release\battlezone\CockpitRadar.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CockpitRadar.obj,103,31972,58,1,249424,171,0
E:\BattleZoneTest\build\obj\Release\battlezone\CockpitSelection.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CockpitSelection.obj,104,18928,54,1,249696,229,0
E:\BattleZoneTest\build\obj\Release\battlezone\CockpitTimer.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CockpitTimer.obj,105,5172,13,1,258992,215,0
E:\BattleZoneTest\build\obj\Release\battlezone\Collision.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Collision.obj,106,1400,19,1,261488,669,0
E:\BattleZoneTest\build\obj\Release\battlezone\ColorFade.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ColorFade.obj,107,1632,11,1,6048,28,0
