kind,symtype,name,segment,offset,rva
function,2,_Floor_AddEntity,1,51984,56080
function,2,_Floor_DeleteEntity,1,52048,56144
function,2,_DeleteFloorHandler,1,51920,56016
function,2,_PointEntityCheck,1,52816,56912
function,2,_PointBox,1,56144,60240
function,2,?Hash@@YAIPBDI@Z,1,61952,66048
function,2,?GetAddsDT@ParticleRenderClass@@UBE_NXZ,1,61936,66032
function,2,??_GBoltRenderClass@@UAEPAXI@Z,1,58128,62224
function,2,??_EBoltRenderClass@@UAEPAXI@Z,1,58128,62224
function,2,??_GBoltRender@@UAEPAXI@Z,1,57408,61504
function,2,??_EBoltRender@@UAEPAXI@Z,1,57408,61504
function,2,?AddSegment@BoltRenderClass@@QAEXAAVBoltRender@@@Z,1,60288,64384
function,2,?Render@BoltRenderClass@@UAEXPAUCAMERA@@@Z,1,58544,62640
function,2,?Simulate@BoltRenderClass@@UAEXM@Z,1,58416,62512
function,2,?Derive@BoltRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,58288,62384
function,2,?Build@BoltRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,58176,62272
function,2,??0BoltRenderClass@@QAE@PBV0@PBD@Z,1,57760,61856
function,2,?Detach@BoltRender@@UAEXPBUMAT_3D@@M@Z,1,57664,61760
function,2,??1BoltRender@@UAE@XZ,1,57456,61552
function,2,??0BoltRender@@QAE@PBVBoltRenderClass@@PAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,57056,61152
function,2,??3BoltRenderClass@@SAXPAX@Z,1,57040,61136
function,2,??3BoltRender@@SAXPAX@Z,1,57024,61120
function,2,??_GChunkSimulateClass@@UAEPAXI@Z,1,62048,66144
function,2,??_EChunkSimulateClass@@UAEPAXI@Z,1,62048,66144
function,2,?Apply@ChunkSimulateClass@@UAEXM@Z,1,62240,66336
function,2,?Derive@ChunkSimulateClass@@UBEPAVParticleSimulateClass@@PBD@Z,1,62096,66192
function,2,??3ChunkSimulateClass@@SAXPAX@Z,1,62032,66128
function,2,??_GColorRenderClass@@UAEPAXI@Z,1,63632,67728
function,2,??_EColorRenderClass@@UAEPAXI@Z,1,63632,67728
function,2,??_GColorRender@@UAEPAXI@Z,1,62928,67024
function,2,??_EColorRender@@UAEPAXI@Z,1,62928,67024
function,2,?Simulate@ColorRenderClass@@UAEXM@Z,1,63888,67984
function,2,?Derive@ColorRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,63760,67856
function,2,?Build@ColorRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,63696,67792
function,2,??3ColorRenderClass@@SAXPAX@Z,1,62912,67008
function,2,??1ColorRender@@UAE@XZ,1,63008,67104
