entry_va,entry_rva,name,legacy_name,pdb_advisory_name,name_source,legacy_namespace,confidence,score,margin,methods,signature,legacy_signature,legacy_entry_rva,shared_strings,redux_decomp,legacy_decomp
4203504,9200,FUN_004023f0,,,,,,,,,undefined FUN_004023f0(void),,,,,
4203520,9216,FUN_00402400,,,,,,,,,undefined FUN_00402400(void),,,,,
4203536,9232,FUN_00402410,,,,,,,,,undefined FUN_00402410(void),,,,,
4203552,9248,FUN_00402420,,,,,,,,,undefined FUN_00402420(void),,,,,
4203568,9264,FUN_00402430,,,,,,,,,undefined FUN_00402430(void),,,,,
4203616,9312,FUN_00402460,,,,,,,,,undefined FUN_00402460(void),,,,,
4203664,9360,FUN_00402490,,,,,,,,,undefined FUN_00402490(void),,,,,
4203680,9376,FUN_004024a0,,,,,,,,,undefined FUN_004024a0(void),,,,,
4203696,9392,FUN_004024b0,,,,,,,,,undefined FUN_004024b0(void),,,,,
4203712,9408,FUN_004024c0,,,,,,,,,undefined FUN_004024c0(void),,,,,
4203728,9424,FUN_004024d0,,,,,,,,,undefined FUN_004024d0(void),,,,,
4203760,9456,FUN_004024f0,,,,,,,,,undefined FUN_004024f0(void),,,,,
4203776,9472,FUN_00402500,,,,,,,,,undefined FUN_00402500(void),,,,,
4203792,9488,FUN_00402510,,,,,,,,,undefined FUN_00402510(void),,,,,
4203808,9504,FUN_00402520,,,,,,,,,undefined FUN_00402520(void),,,,,
4203824,9520,FUN_00402530,,,,,,,,,undefined FUN_00402530(void),,,,,
4203840,9536,FUN_00402540,,,,,,,,,undefined FUN_00402540(void),,,,,
4203856,9552,FUN_00402550,,,,,,,,,undefined FUN_00402550(void),,,,,
4203872,9568,FUN_00402560,,,,,,,,,undefined FUN_00402560(void),,,,,
4203888,9584,FUN_00402570,,,,,,,,,undefined FUN_00402570(void),,,,,
4203904,9600,FUN_00402580,,,,,,,,,undefined FUN_00402580(void),,,,,
4203920,9616,FUN_00402590,,,,,,,,,undefined FUN_00402590(void),,,,,
4203936,9632,FUN_004025a0,,,,,,,,,undefined FUN_004025a0(void),,,,,
4203952,9648,FUN_004025b0,,,,,,,,,undefined FUN_004025b0(void),,,,,
4203968,9664,FUN_004025c0,,,,,,,,,undefined FUN_004025c0(void),,,,,
