name,kind,size
GFPostLoadPri,struct,1
GFPostRunPri,struct,1
GFPreDestroyPri,struct,1
GFPreLoadPri,struct,1
GFRenderPri,struct,1
GIDDI_VALS,struct,80
GLL_GenLListType,struct,20
GLL_LinkStruct,struct,12
GOURAUD_EDGE,struct,24
GROUND_SPRITE_ENTITY,struct,16
GameFeature,struct,40
GameObject,struct,544
GameObjectClass,struct,336
GameObjectDialog,struct,1
GameObjectFeature,struct,44
GameObjectHandle,struct,1
GamePlayerList,struct,60
GameSessionList,struct,64
GechAttack,struct,312
GechEnemy,struct,120
GechFriend,struct,120
GechProcess,struct,120
Geizer,struct,576
GeizerClass,struct,352
GeoHeader,struct,36
GoGet,struct,352
GoNear,struct,352
GoNearAndSit,struct,352
GoPoints,struct,340
Goal,struct,56
GotoGeyser,struct,344
GotoTask,struct,336
Grenade,struct,232
