legacy_entry_va	bsim_redux_va	legacy_name	legacy_namespace	combined_confidence	bsim_similarity	bsim_significance	bsim_agreement
0x0050a093	0x696c90	AI_Team_UnRecruit_Single_Neighbor	Global	high	0.9784	42.79	bsim_only
0x0050a0dd	0x696d10	AI_Team_UnRecruit_Neighbors	Global	high	1.0000	52.23	bsim_only
0x0050f4f4	0x6987d0	parentheses	Global	very_high	0.6521	54.22	exact
0x0050ee1f	0x6989a0	constant_or_variable	Global	very_high	0.5655	42.65	exact
0x00510d75	0x699180	IParse_Report	Global	very_high	0.8940	21.95	exact
0x005124fe	0x69c1e0	IParse_Read_Data_Into_Buffer	Global	very_high	0.5042	48.55	exact
0x00512aa6	0x69cc40	IParse_Get_Runtime_Float	Global	very_high	0.5445	21.56	exact
0x00512d38	0x69cef0	IParse_Get_Runtime_Float_Field	Global	very_high	0.6370	18.12	exact
0x00512e17	0x69cfa0	IParse_Get_Runtime_String_Field	Global	very_high	0.8379	36.68	exact
0x005176d0	0x6a3300	AI_Team_Print_Goals	Global	very_high	0.5660	42.97	exact
0x0056d7fa	0x821ec0	fsm_pop_camera	Global	very_high	1.0000	19.00	exact
0x00525849	0x825510	GetClsnPlanes	Global	high	0.9604	42.13	bsim_only
0x0052594e	0x825650	NewObj	Global	very_high	0.9231	116.60	exact
0x00526cbe	0x825ac0	Process_VLOC_Chunk	Global	very_high	0.7123	75.42	exact
0x00527169	0x826b80	find_obj_prjid	Global	high	1.0000	44.34	bsim_only
0x005278b3	0x826c40	zfsCreateFile	Global	very_high	0.9107	53.66	exact
0x00527b23	0x827030	buildcookie	Global	very_high	0.7026	56.14	exact
0x00527c46	0x8271b0	zfsOpen	Global	very_high	0.5542	38.11	exact
0x005283b6	0x8273e0	zfsReadRecordInternal	Global	very_high	0.6626	68.47	exact
0x005b6f8f	0x82b690	adjuststack	Global	high	0.9957	58.24	bsim_only
0x005b7086	0x82b87b	luaL_addvalue	Global	high	0.9938	47.12	bsim_only
0x005b7679	0x82b9f2	luaL_checkany	Global	very_high	1.0000	18.59	exact
0x005b6e91	0x82bc6c	luaL_findtable	Global	high	1.0000	83.96	bsim_only
0x005b728c	0x82be9b	luaL_loadfile	Global	very_high	0.8651	112.76	exact
0x005b77f7	0x82c0d6	luaL_openlib	Global	very_high	0.9835	98.17	exact
0x005b76d3	0x82c225	luaL_optlstring	Global	high	1.0000	47.47	bsim_only
0x005b6cbd	0x82c341	luaL_where	Global	very_high	0.7952	23.65	exact
0x005b74a1	0x82c3b7	panic	Global	very_high	1.0000	17.44	exact
0x005b5c40	0x82c5be	lua_checkstack	Global	high	0.9962	54.07	bsim_only
0x005b6adc	0x82c61c	lua_concat	Global	high	1.0000	54.77	bsim_only
0x005b69d5	0x82c70b	lua_gc	Global	high	1.0000	78.51	bsim_only
0x005b658f	0x82c7d3	lua_getfenv	Global	high	1.0000	58.34	bsim_only
0x005b6874	0x82cb8c	lua_pcall	Global	high	0.9660	45.87	bsim_only
0x005b6345	0x82cc15	lua_pushcclosure	Global	high	1.0000	82.71	bsim_only
0x005b6669	0x82ced4	lua_rawset	Global	high	1.0000	58.14	bsim_only
0x005b66cb	0x82cf37	lua_rawseti	Global	high	1.0000	57.95	bsim_only
0x005b5d86	0x82cf99	lua_remove	Global	high	1.0000	48.39	bsim_only
0x005b5e0d	0x82cfd8	lua_replace	Global	very_high	0.9987	96.12	exact
0x005b67b8	0x82d08e	lua_setfenv	Global	high	1.0000	69.05	bsim_only
0x005b672f	0x82d16f	lua_setmetatable	Global	high	0.9646	88.99	bsim_only
0x005b5d4d	0x82d226	lua_settop	Global	high	1.0000	42.91	bsim_only
0x005b60fa	0x82d377	lua_tolstring	Global	high	1.0000	66.90	bsim_only
0x005b5f03	0x82d4b1	lua_typename	Global	very_high	1.0000	18.06	exact
0x005b5c9d	0x82d4cc	lua_xmove	Global	high	1.0000	52.38	bsim_only
0x005b7b34	0x82d5cb	f_luaopen	Global	very_high	1.0000	46.38	exact
0x005b9f36	0x82d9b5	checkArgMode	Global	high	1.0000	60.21	bsim_only
0x005b9e2e	0x82da0c	collectvalidlines	Global	high	1.0000	71.55	bsim_only
0x005b9b90	0x82dad3	currentpc	Global	high	1.0000	45.42	bsim_only
0x005b9d95	0x82db70	funcinfo	Global	high	0.9711	42.36	bsim_only
0x005ba43d	0x82dc7a	getobjname	Global	very_high	0.7117	73.18	exact
0x005ba8e5	0x82dde7	luaG_aritherror	Global	very_high	0.7235	15.24	exact
0x005ba8bd	0x82de60	luaG_concaterror	Global	very_high	0.9551	19.31	exact
0x005ba916	0x82df0d	luaG_ordererror	Global	very_high	0.8896	30.14	exact
0x005ba845	0x82dfec	luaG_typeerror	Global	very_high	0.6680	28.55	exact
0x005b8181	0x82e741	luaO_chunkid	Global	high	0.9777	206.22	bsim_only
0x005b7e3e	0x82e87e	luaO_int2fb	Global	very_high	1.0000	34.61	exact
0x005b7faa	0x82e8e4	luaO_pushvfstring	Global	very_high	0.5856	87.02	exact
0x005b7f64	0x82ebda	pushstr	Global	high	1.0000	45.25	bsim_only
0x005bd2cd	0x82ecad	luaZ_openspace	Global	high	0.9848	41.74	bsim_only
0x005bd283	0x82ecf4	luaZ_read	Global	high	1.0000	54.33	bsim_only
0x005b855f	0x82ed3d	adjust_varargs	Global	high	0.9720	165.92	bsim_only
0x005b872f	0x82ee9e	callrethooks	Global	high	1.0000	45.30	bsim_only
0x005b89e0	0x82f01b	growCI	Global	very_high	0.7642	25.43	exact
0x005b8bb4	0x82f062	luaD_call	Global	very_high	0.9044	55.63	exact
0x005b8d2c	0x82f1b5	luaD_pcall	Global	high	1.0000	51.04	bsim_only
0x005b877c	0x82f246	luaD_poscall	Global	high	1.0000	84.88	bsim_only
0x005b8425	0x82f536	luaD_reallocCI	Global	high	1.0000	46.89	bsim_only
0x005b829f	0x82f5f3	luaD_seterrorobj	Global	very_high	1.0000	48.45	exact
0x005b8c9a	0x82f6a3	lua_resume	Global	very_high	0.8313	58.83	exact
0x005b884a	0x82f739	lua_yield	Global	very_high	0.7759	20.72	exact
0x005b8c2e	0x82f7e4	resume	Global	high	1.0000	58.18	bsim_only
0x005b87fc	0x82f852	resume_error	Global	high	1.0000	48.26	bsim_only
0x005bd037	0x82f92f	luaF_close	Global	high	0.9752	61.24	bsim_only
0x005bcf72	0x82f9ac	luaF_findupval	Global	high	0.9694	83.22	bsim_only
0x005b967c	0x82fc7c	GCTM	Global	high	1.0000	94.93	bsim_only
0x005b961b	0x82fe33	checkSizes	Global	high	0.9861	57.83	bsim_only
0x005b952f	0x82ff43	freeobj	Global	high	1.0000	53.10	bsim_only
0x005b9461	0x82ffca	iscleared	Global	high	0.9814	42.66	bsim_only
0x005b8ee5	0x83018d	luaC_separateudata	Global	high	0.9915	96.37	bsim_only
0x005b99f9	0x830222	luaC_step	Global	high	1.0000	70.93	bsim_only
0x005b8e1b	0x830437	reallymarkobject	Global	high	1.0000	109.37	bsim_only
0x005b959a	0x8305c7	sweeplist	Global	high	0.9776	73.41	bsim_only
0x005b91b6	0x830650	traverseclosure	Global	high	1.0000	120.12	bsim_only
0x005bcc7c	0x830af4	luaS_resize	Global	high	0.9510	97.11	bsim_only
0x005bc241	0x830cca	findindex	Global	very_high	0.8885	70.30	exact
0x005bc701	0x830de6	luaH_get	Global	high	1.0000	62.36	bsim_only
0x005bc50a	0x831635	setnodevector	Global	very_high	0.9433	82.29	exact
0x005bd3d0	0x831798	DumpConstants	Global	high	0.9631	77.88	bsim_only
0x005babfe	0x831bea	callTM	Global	high	1.0000	51.04	bsim_only
0x005bafa0	0x831e54	l_strcmp	Global	high	1.0000	68.52	bsim_only
0x005bb176	0x831f3a	luaV_concat	Global	very_high	0.9970	184.26	exact
0x005bb3ae	0x832183	luaV_execute	Global	very_high	0.6170	585.68	exact
0x005bac91	0x8330e3	luaV_gettable	Global	very_high	0.9835	98.34	exact
0x005bad5c	0x83321b	luaV_settable	Global	very_high	0.9551	121.87	exact
0x005baa64	0x833372	luaV_tostring	Global	very_high	0.8685	34.27	exact
0x005baad6	0x8333ea	traceexec	Global	high	0.9636	85.65	bsim_only
0x005ba964	0x8334ee	luaT_init	Global	high	0.9784	50.46	bsim_only
0x005c254e	0x83353f	luaB_print	Global	very_high	1.0000	65.25	exact
0x005c2749	0x833742	luaB_getmetatable	Global	very_high	1.0000	22.75	exact
0x005c2783	0x833783	luaB_setmetatable	Global	very_high	1.0000	37.69	exact
0x005c28e7	0x833834	luaB_setfenv	Global	very_high	0.7362	35.79	exact
0x005c2a28	0x833997	luaB_collectgarbage	Global	very_high	0.8610	47.17	exact
0x005c2caf	0x833b12	luaB_load	Global	very_high	1.0000	19.99	exact
0x005c2d82	0x833bee	luaB_unpack	Global	very_high	0.7771	50.29	exact
0x005c2e0e	0x833c96	luaB_select	Global	very_high	1.0000	61.08	exact
0x005c30ef	0x833e63	luaB_costatus	Global	very_high	0.6474	17.69	exact
0x005c31e3	0x833eac	luaB_coresume	Global	very_high	0.6823	29.09	exact
0x005c32b4	0x833f22	luaB_cocreate	Global	very_high	1.0000	31.33	exact
0x005c3131	0x834002	auxresume	Global	very_high	0.9363	61.14	exact
0x005c338b	0x8340bc	base_open	Global	very_high	1.0000	27.04	exact
0x005c2c3b	0x8341f5	generic_reader	Global	very_high	0.7714	30.23	exact
0x005c27f3	0x83426a	getfunc	Global	very_high	0.7783	45.67	exact
0x005c2fcf	0x834433	luaB_newproxy	Global	very_high	1.0000	56.00	exact
0x005c1426	0x83472f	tinsert	Global	very_high	0.6653	38.66	exact
0x005c14b4	0x8347bd	tremove	Global	high	1.0000	46.18	bsim_only
0x005c1538	0x834984	addfield	Global	very_high	0.6765	17.63	exact
0x005c16d9	0x8349d5	auxsort	Global	very_high	0.5498	76.89	exact
0x005bfee1	0x8350ac	str_char	Global	very_high	0.9268	50.03	exact
0x005bffa3	0x83515d	str_dump	Global	very_high	0.8521	24.64	exact
0x005c0b9d	0x83524f	str_gsub	Global	very_high	0.8428	106.13	exact
0x005c0ac0	0x83574a	add_value	Global	very_high	0.8298	59.32	exact
0x005c0d4a	0x835822	addquoted	Global	high	1.0000	99.68	bsim_only
