legacy_va,legacy_name,legacy_namespace,redux_rva,redux_va,similarity,significance,rank2_rva,rank2_similarity
0x00553e75,do_error,Global,0x224710,0x624710,0.5010,9.74,,
0x005570f0,`scalar_deleting_destructor',MapList,0x41bae0,0x81bae0,0.5343,9.73,0x8e920,0.5343
0x0052648d,Process_LOBJ_Chunk,Global,0x66de0,0x466de0,0.5603,9.72,0x190340,0.5296
0x00527319,EndBWD2Write,Global,0x2e0f70,0x6e0f70,0.5335,9.72,,
0x0048ab2f,"_Construct<BASE_STRUCT,BASE_STRUCT>",std,0x43d680,0x83d680,0.5598,9.69,0x2e33f0,0.5177
0x0048b33e,construct,std::allocator<BASE_STRUCT>,0x43d680,0x83d680,0.5598,9.69,0x2e33f0,0.5177
0x005479f2,`scalar_deleting_destructor',Addr,0x32b580,0x72b580,0.6203,9.68,,
0x005491b0,`scalar_deleting_destructor',OldNew,0x32b580,0x72b580,0.6203,9.68,,
0x005714ce,`scalar_deleting_destructor',KeyConfig,0x32b580,0x72b580,0.6203,9.68,,
0x00545029,SetZBufferRange,Global,0x1b53a0,0x5b53a0,0.5115,9.67,0x188dd0,0.5082
0x0046f892,GameObject_GetFromObj,Global,0x42d4b1,0x82d4b1,0.5965,9.65,0x434371,0.5016
0x00532c1c,GetFromObj,Ordnance,0x42d4b1,0x82d4b1,0.5965,9.65,0x434371,0.5016
0x0053df34,GetFromObj,Weapon,0x42d4b1,0x82d4b1,0.5965,9.65,0x434371,0.5016
0x005be5dc,bit_bnot,Global,0x4383d8,0x8383d8,0.6115,9.63,,
0x00459aae,RecycleTask_GetState,Global,0x1c10e0,0x5c10e0,0.5140,9.62,,
0x0048c3d2,operator-,"std::_Deque_iterator<BASE_STRUCT,std::allocator<BASE_STRUCT>,1>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x004979fe,operator-,"std::_Vector_iterator<GameObject_*,std::allocator<GameObject_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x0049980b,operator-,"std::_Vector_iterator<GameObjectClass_*,std::allocator<GameObjectClass_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x004e5383,operator-,"std::_Vector_iterator<ScorePlayer_*,std::allocator<ScorePlayer_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x004ecc93,obj_get_root,Global,0x22e050,0x62e050,0.5597,9.60,0x18e940,0.5267
0x00518e4a,operator-,"std::_Vector_iterator<ObjectClassInfo_*,std::allocator<ObjectClassInfo_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x00518e8f,operator-,"std::_Vector_iterator<GridPoint,std::allocator<GridPoint>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x0052ee15,operator-,"std::_Vector_iterator<ExplosionClass_*,std::allocator<ExplosionClass_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x0053544e,operator-,"std::_Vector_iterator<OrdnanceClass_*,std::allocator<OrdnanceClass_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x0053ee52,operator-,"std::_Vector_iterator<WeaponClass_*,std::allocator<WeaponClass_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x00557e71,operator-,"std::_Vector_iterator<PortData_*,std::allocator<PortData_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x00558366,operator-,"std::_Vector_iterator<Session_*,std::allocator<Session_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x005583ab,operator-,"std::_Vector_iterator<Player_*,std::allocator<Player_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x0055854d,operator-,"std::_Vector_iterator<Server_*,std::allocator<Server_*>_>",0xfef60,0x4fef60,0.5589,9.60,0x405040,0.5332
0x0048ebe1,GlobalSetRemote,DistributedObject,0xb9c30,0x4b9c30,0.5131,9.59,,
0x00556605,Load,PlayerNameList,0x4053c0,0x8053c0,0.5199,9.59,0x407150,0.5045
0x0054d375,Mono_Clear,Global,0xa7fc0,0x4a7fc0,0.5292,9.58,0x43ea64,0.5572
0x00486a4b,Craft_ControlSpeed,Global,0x79f30,0x479f30,0.5799,9.53,0x183d90,0.5799
0x00486ab4,Craft_MaxTurningSpeed,Global,0x79f30,0x479f30,0.5807,9.53,0x183d90,0.5807
0x004a5452,Person_ControlSpeed,Global,0x79f30,0x479f30,0.5799,9.53,0x183d90,0.5799
0x004a54bb,Person_MaxTurningSpeed,Global,0x79f30,0x479f30,0.5807,9.53,0x183d90,0.5807
0x0053df58,Weapon_Trigger,Global,0x79f30,0x479f30,0.5807,9.53,0x183d90,0.5807
0x00410725,GetBoundingSphere,GameObjectClass,0x42c2ac,0x82c2ac,0.5215,9.52,0x3c2450,0.5812
0x0048543d,GetBoundingBox,GameObjectClass,0x42c2ac,0x82c2ac,0.5215,9.52,0x3c2450,0.5812
0x0054f300,FreeMap,Global,0xafe80,0x4afe80,0.5804,9.50,0x34470,0.5804
0x004968b4,GameObject_SetUserTeamAlly,Global,0x43e885,0x83e885,0.5749,9.45,,
0x004968d7,GameObject_UnSetUserTeamAlly,Global,0x43e885,0x83e885,0.5749,9.45,,
0x004ea42d,Entity_WorldSphere,Global,0x299650,0x699650,0.5516,9.45,,
0x00570107,~ShellScrollBar,ShellScrollBar,0x2cd6e0,0x6cd6e0,0.5498,9.44,0x42c2cb,0.5254
0x004e86e8,Submit_Sorting_Planes,Global,0x326c00,0x726c00,0.5767,9.40,0x2084c0,0.5828
0x00570499,~TextWindow,TextWindow,0x42c2cb,0x82c2cb,0.5017,9.40,,
0x00405c6f,GetObj,GameObjectHandle,0x1ce150,0x5ce150,0.5006,9.38,,
0x0046f76c,UserProcess,UserProcess,0x2d0dc0,0x6d0dc0,0.5271,9.38,0xbc140,0.6563
0x004954d7,SetAsNotUser,GameObject,0x71860,0x471860,0.5142,9.34,0x75050,0.5142
0x0051711f,operator(),matrix<unsigned_char>,0x2a65e0,0x6a65e0,0.5112,9.28,,
0x0059c300,ov_bitrate_instant,Global,0x1b53a0,0x5b53a0,0.5272,9.27,,
