redux_va	apply_name	namespace	api_name	legacy_va	source_tag
0x5005c0	IsLocal	LuaAPI	IsLocal	0x417058	regtable+1.5
0x500600	IsRemote	LuaAPI	IsRemote	0x41707d	regtable+1.5
0x500640	GetTeamNum	LuaAPI	GetTeamNum	0x4170a2	regtable+1.5
0x500680	SetTeamNum	LuaAPI	SetTeamNum	0x4170c4	regtable+1.5
0x5006c0	GetPerceivedTeam	LuaAPI	GetPerceivedTeam	0x4170eb	regtable+1.5
0x500700	SetPerceivedTeam	LuaAPI	SetPerceivedTeam	0x41710d	regtable+1.5
0x500740	SetUserTarget	LuaAPI	SetUserTarget	0x417134	regtable+1.5
0x500770	GetUserTarget	LuaAPI	GetUserTarget	0x41714b	regtable+1.5
0x5007a0	SetTarget	LuaAPI	SetTarget	0x417160	regtable+1.5
0x5007e0	GetTarget	LuaAPI	GetTarget	0x417187	regtable+1.5
0x500820	SetOwner	LuaAPI	SetOwner	0x4171a9	regtable+1.5
0x500860	GetOwner	LuaAPI	GetOwner	0x4171d0	regtable+1.5
0x5008a0	SetPilotClass	LuaAPI	SetPilotClass	0x4171f2	regtable+1.5
0x5008e0	GetPilotClass	LuaAPI	GetPilotClass	0x41ba93	regtable+1.5
0x500940	SetVector	LuaAPI	SetVector	0x41bace	regtable+1.5
0x500a30	DotProduct	LuaAPI	DotProduct	0x41bb2e	regtable+1.5
0x500a80	CrossProduct	LuaAPI	CrossProduct	0x41bb6f	regtable+1.5
0x500b10	Normalize	LuaAPI	Normalize	0x41bbba	regtable+1.5
0x500b90	Length	LuaAPI	Length	0x41bbf8	regtable+1.5
0x500be0	LengthSquared	LuaAPI	LengthSquared	0x41bc28	regtable+1.5
0x500c20	Distance2D	LuaAPI	Distance2D	0x41bc5e	regtable+1.5
0x500c80	Distance2DSquared	LuaAPI	Distance2DSquared	0x41bca1	regtable+1.5
0x500cd0	Distance3D	LuaAPI	Distance3D	0x41bce2	regtable+1.5
0x500d50	Distance3DSquared	LuaAPI	Distance3DSquared	0x41bd2c	regtable+1.5
0x500dd0	SetMatrix	LuaAPI	SetMatrix	0x41bd76	regtable+1.5
0x5010f0	BuildAxisRotationMatrix	LuaAPI	BuildAxisRotationMatrix	0x41721b	regtable+1.5
0x501240	BuildPositionRotationMatrix	LuaAPI	BuildPositionRotationMatrix	0x41730f	regtable+1.5
0x5013f0	BuildOrthogonalMatrix	LuaAPI	BuildOrthogonalMatrix	0x417408	regtable+1.5
0x5014a0	BuildDirectionalMatrix	LuaAPI	BuildDirectionalMatrix	0x41746f	regtable+1.5
0x501550	GetTransform	LuaAPI	GetTransform	0x4174d6	regtable+1.5
0x5015d0	SetTransform	LuaAPI	SetTransform	0x41751b	regtable+1.5
0x501620	GetPosition	LuaAPI	GetPosition	0x417548	regtable+1.5
0x501710	SetPosition	LuaAPI	SetPosition	0x41bee5	regtable+1.5
0x501800	GetFront	LuaAPI	GetFront	0x417620	regtable+1.5
0x501880	GetVelocity	LuaAPI	GetVelocity	0x41765e	regtable+1.5
0x501900	SetVelocity	LuaAPI	SetVelocity	0x41769c	regtable+1.5
0x501950	GetOmega	LuaAPI	GetOmega	0x4176c9	regtable+1.5
0x5019d0	SetOmega	LuaAPI	SetOmega	0x417707	regtable+1.5
0x501a20	GetCircularPos	LuaAPI	GetCircularPos	0x41774e	regtable+1.5
0x501b00	GetPositionNear	LuaAPI	GetPositionNear	0x4177c8	regtable+1.5
0x501be0	GetWhoShotMe	LuaAPI	GetWhoShotMe	0x417842	regtable+1.5
0x501c20	GetLastEnemyShot	LuaAPI	GetLastEnemyShot	0x417864	regtable+1.5
0x501c60	GetLastFriendShot	LuaAPI	GetLastFriendShot	0x417889	regtable+1.5
0x501ca0	DefaultAllies	LuaAPI	DefaultAllies	0x4178ae	regtable+1.5
0x501cb0	LockAllies	LuaAPI	LockAllies	0x4178b6	regtable+1.5
0x501cf0	Ally	LuaAPI	Ally	0x4178d5	regtable+1.5
0x501d30	UnAlly	LuaAPI	UnAlly	0x417916	regtable+1.5
0x501d70	IsTeamAllied	LuaAPI	IsTeamAllied	0x417957	regtable+1.5
0x501dd0	IsAlly	LuaAPI	IsAlly	0x4179a2	regtable+1.5
0x501e30	SetObjectiveOn	LuaAPI	SetObjectiveOn	0x417a3d	regtable+1.5
0x501e60	SetObjectiveOff	LuaAPI	SetObjectiveOff	0x417a54	regtable+1.5
0x501e90	SetObjectiveName	LuaAPI	SetObjectiveName	0x417a6b	regtable+1.5
0x501ed0	GetObjectiveName	LuaAPI	GetObjectiveName	0x417a94	regtable+1.5
0x501f20	GetTime	LuaAPI	GetTime	0x417abf	regtable+1.5
0x501f50	GetTimeNow	LuaAPI	GetTimeNow	0x417ad9	regtable+1.5
0x501f90	GetTimeStep	LuaAPI	GetTimeStep	0x417b04	regtable+1.5
0x501fc0	GetDistance	LuaAPI	GetDistance	0x417b1e	regtable+1.5
0x502100	IsWithin	LuaAPI	IsWithin	0x417bda	regtable+1.5
0x502240	AllObjects	LuaAPI	AllObjects	0x41cd24	regtable+1.5
0x502330	AllCraft	LuaAPI	AllCraft	0x41cdbc	regtable+1.5
0x502490	ObjectsInRange	LuaAPI	ObjectsInRange	0x41ceb0	regtable+1.5
0x502730	SelectedObjects	LuaAPI	SelectedObjects	0x41bfe2	regtable+1.5
0x502810	ObjectiveObjects	LuaAPI	ObjectiveObjects	0x41c06f	regtable+1.5
0x502840	GetNearestObject	LuaAPI	GetNearestObject	0x417c45	regtable+1.5
0x502960	GetNearestVehicle	LuaAPI	GetNearestVehicle	0x417cea	regtable+1.5
0x502a80	GetNearestBuilding	LuaAPI	GetNearestBuilding	0x417d8f	regtable+1.5
0x502ba0	GetNearestEnemy	LuaAPI	GetNearestEnemy	0x417e34	regtable+1.5
0x502cc0	GetNearestFriend	LuaAPI	GetNearestFriend		regtable_reduxonly
0x502de0	CountUnitsNearObject	LuaAPI	CountUnitsNearObject	0x417ed9	regtable+1.5
0x502e70	GetRidOfSomeScrap	LuaAPI	GetRidOfSomeScrap	0x417f34	regtable+1.5
0x502ea0	ClearScrapAround	LuaAPI	ClearScrapAround	0x417f50	regtable+1.5
0x502fe0	AddPilot	LuaAPI	AddPilot	0x418007	regtable+1.5
0x503030	SetPilot	LuaAPI	SetPilot	0x418036	regtable+1.5
0x503080	GetPilot	LuaAPI	GetPilot	0x418065	regtable+1.5
0x5030c0	AddMaxPilot	LuaAPI	AddMaxPilot	0x418087	regtable+1.5
0x503110	SetMaxPilot	LuaAPI	SetMaxPilot	0x4180b6	regtable+1.5
0x503160	GetMaxPilot	LuaAPI	GetMaxPilot	0x4180e5	regtable+1.5
0x5031a0	AddScrap	LuaAPI	AddScrap	0x418107	regtable+1.5
0x5031f0	SetScrap	LuaAPI	SetScrap	0x418136	regtable+1.5
0x503240	GetScrap	LuaAPI	GetScrap	0x418165	regtable+1.5
0x503280	AddMaxScrap	LuaAPI	AddMaxScrap	0x418187	regtable+1.5
0x5032d0	SetMaxScrap	LuaAPI	SetMaxScrap	0x4181b6	regtable+1.5
0x503320	GetMaxScrap	LuaAPI	GetMaxScrap	0x4181e5	regtable+1.5
0x503360	IsDeployed	LuaAPI	IsDeployed	0x418207	regtable+1.5
0x5033a0	Deploy	LuaAPI	Deploy	0x41822c	regtable+1.5
0x5033d0	IsSelected	LuaAPI	IsSelected	0x418243	regtable+1.5
0x503410	IsCritical	LuaAPI	IsCritical		regtable_reduxonly
0x503450	SetCritical	LuaAPI	SetCritical		regtable_reduxonly
0x5034e0	SetWeaponMask	LuaAPI	SetWeaponMask	0x418268	regtable+1.5
0x503520	GiveWeapon	LuaAPI	GiveWeapon	0x41828f	regtable+1.5
0x5035c0	FireAt	LuaAPI	FireAt	0x4182f1	regtable+1.5
0x503600	Damage	LuaAPI	Damage	0x418318	regtable+1.5
0x503650	SetAIControl	LuaAPI	SetAIControl	0x41833f	regtable+1.5
0x5036c0	GetAIControl	LuaAPI	GetAIControl		regtable_reduxonly
0x503700	SetAIP	LuaAPI	SetAIP	0x418383	regtable+1.5
0x503750	GetAIP	LuaAPI	GetAIP	0x4183ae	regtable+1.5
0x5037a0	FailMission	LuaAPI	FailMission	0x4183db	regtable+1.5
0x5037f0	SucceedMission	LuaAPI	SucceedMission	0x418410	regtable+1.5
0x503920	ClearObjectives	LuaAPI	ClearObjectives	0x418445	regtable+1.5
0x503a40	AddObjective	LuaAPI	AddObjective	0x4184fb	regtable+1.5
0x503ae0	UpdateObjective	LuaAPI	UpdateObjective	0x41854f	regtable+1.5
0x503b80	RemoveObjective	LuaAPI	RemoveObjective	0x4185a3	regtable+1.5
0x503bb0	StartCockpitTimer	LuaAPI	StartCockpitTimer	0x4185c1	regtable+1.5
