api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
GetFactoryHandle,0x87c29c,0x871c30,0x4ffe20,0xffe20,FUN_004ffe20,true
GetArmoryHandle,0x87c41c,0x871c38,0x4ffe90,0xffe90,FUN_004ffe90,true
GetConstructorHandle,0x87c42c,0x871c40,0x4fff00,0xfff00,FUN_004fff00,true
AddPilot,0x87c85c,0x871f10,0x502fe0,0x102fe0,FUN_00502fe0,true
SetPilot,0x87c868,0x871f18,0x503030,0x103030,FUN_00503030,true
GetPilot,0x87c874,0x871f20,0x503080,0x103080,FUN_00503080,true
AddMaxPilot,0x87c880,0x871f28,0x5030c0,0x1030c0,FUN_005030c0,true
SetMaxPilot,0x87c88c,0x871f30,0x503110,0x103110,FUN_00503110,true
GetMaxPilot,0x87c984,0x871f38,0x503160,0x103160,FUN_00503160,true
AddScrap,0x87c990,0x871f40,0x5031a0,0x1031a0,FUN_005031a0,true
SetScrap,0x87c99c,0x871f48,0x5031f0,0x1031f0,FUN_005031f0,true
GetScrap,0x87c9a8,0x871f50,0x503240,0x103240,FUN_00503240,true
AddMaxScrap,0x87c9b4,0x871f58,0x503280,0x103280,FUN_00503280,true
SetMaxScrap,0x87c9c0,0x871f60,0x5032d0,0x1032d0,FUN_005032d0,true
GetMaxScrap,0x87c9cc,0x871f68,0x503320,0x103320,FUN_00503320,true
IsDeployed,0x87c9d8,0x871f70,0x503360,0x103360,FUN_00503360,true
Deploy,0x87c92c,0x871f78,0x5033a0,0x1033a0,FUN_005033a0,true
IsSelected,0x87c934,0x871f80,0x5033d0,0x1033d0,FUN_005033d0,true
IsCritical,0x87c940,0x871f88,0x503410,0x103410,FUN_00503410,true
SetCritical,0x87c94c,0x871f90,0x503450,0x103450,FUN_00503450,true
SetWeaponMask,0x87c958,0x871f98,0x5034e0,0x1034e0,FUN_005034e0,true
GiveWeapon,0x87c968,0x871fa0,0x503520,0x103520,FUN_00503520,true
GetWeaponClass,0x87c454,0x871c58,0x500060,0x100060,FUN_00500060,true
FireAt,0x87c974,0x871fa8,0x5035c0,0x1035c0,FUN_005035c0,true
Damage,0x87c97c,0x871fb0,0x503600,0x103600,FUN_00503600,true
GetTime,0x87c764,0x871e80,0x501f20,0x101f20,FUN_00501f20,true
GetTimeStep,0x87c778,0x871e90,0x501f90,0x101f90,FUN_00501f90,true
GetTimeNow,0x87c76c,0x871e88,0x501f50,0x101f50,FUN_00501f50,true
SetAIControl,0x87ca74,0x871fb8,0x503650,0x103650,FUN_00503650,true
Enables,,,,,,MISSING
GetAIControl,0x87ca84,0x871fc0,0x5036c0,0x1036c0,FUN_005036c0,true
GetAIP,0x87ca9c,0x871fd0,0x503750,0x103750,FUN_00503750,true
