name,address_va,address_rva,symbol_type,source,namespace
?resourceExistsInAnyGroup@ResourceGroupManager@Ogre@@QAE_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,197,-4194107,Function,IMPORTED,OGREMAIN.DLL
?unloadResourceGroup@ResourceGroupManager@Ogre@@QAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z,198,-4194106,Function,IMPORTED,OGREMAIN.DLL
??3?$AllocatedObject@V?$CategorisedAllocPolicy@$02@Ogre@@@Ogre@@SAXPAX@Z,199,-4194105,Label,IMPORTED,OGREMAIN.DLL
??2?$AllocatedObject@V?$CategorisedAllocPolicy@$02@Ogre@@@Ogre@@SAPAXI@Z,200,-4194104,Label,IMPORTED,OGREMAIN.DLL
?getUseSimpleOptimalAdjust@LiSPSMShadowCameraSetup@Ogre@@UBE_NXZ,201,-4194103,Function,IMPORTED,OGREMAIN.DLL
?setUseSimpleOptimalAdjust@LiSPSMShadowCameraSetup@Ogre@@UAEX_N@Z,202,-4194102,Function,IMPORTED,OGREMAIN.DLL
?setOptimalAdjustFactor@LiSPSMShadowCameraSetup@Ogre@@UAEXM@Z,203,-4194101,Function,IMPORTED,OGREMAIN.DLL
?setUseAggressiveFocusRegion@FocusedShadowCameraSetup@Ogre@@QAEX_N@Z,204,-4194100,Function,IMPORTED,OGREMAIN.DLL
?getSubMeshIterator@Mesh@Ogre@@QAE?AV?$VectorIterator@V?$vector@PAVSubMesh@Ogre@@V?$STLAllocator@PAVSubMesh@Ogre@@V?$CategorisedAllocPolicy@$0A@@2@@2@@std@@@2@XZ,205,-4194099,Function,IMPORTED,OGREMAIN.DLL
?getCreator@SceneNode@Ogre@@QBEPAVSceneManager@2@XZ,206,-4194098,Function,IMPORTED,OGREMAIN.DLL
?setMaterialScheme@Viewport@Ogre@@QAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,207,-4194097,Function,IMPORTED,OGREMAIN.DLL
?setShadowTextureCountPerLightType@SceneManager@Ogre@@QAEXW4LightTypes@Light@2@I@Z,208,-4194096,Function,IMPORTED,OGREMAIN.DLL
?setLoop@AnimationState@Ogre@@QAEX_N@Z,209,-4194095,Function,IMPORTED,OGREMAIN.DLL
?setShadowFarClipDistance@Light@Ogre@@QAEXM@Z,210,-4194094,Function,IMPORTED,OGREMAIN.DLL
?setShadowNearClipDistance@Light@Ogre@@QAEXM@Z,211,-4194093,Function,IMPORTED,OGREMAIN.DLL
?getSkeleton@Entity@Ogre@@QBEPAVSkeletonInstance@2@XZ,212,-4194092,Function,IMPORTED,OGREMAIN.DLL
?scale@AxisAlignedBox@Ogre@@QAEXABVVector3@2@@Z,213,-4194091,Function,IMPORTED,OGREMAIN.DLL
??0AxisAlignedBox@Ogre@@QAE@W4Extent@01@@Z,214,-4194090,Function,IMPORTED,OGREMAIN.DLL
??0Matrix3@Ogre@@QAE@XZ,215,-4194089,Function,IMPORTED,OGREMAIN.DLL
??0Vector3@Ogre@@QAE@XZ,216,-4194088,Function,IMPORTED,OGREMAIN.DLL
??4Quaternion@Ogre@@QAEAAV01@ABV01@@Z,217,-4194087,Function,IMPORTED,OGREMAIN.DLL
??0Quaternion@Ogre@@QAE@ABVRadian@1@ABVVector3@1@@Z,218,-4194086,Function,IMPORTED,OGREMAIN.DLL
??0Quaternion@Ogre@@QAE@MMMM@Z,219,-4194085,Function,IMPORTED,OGREMAIN.DLL
??0Quaternion@Ogre@@QAE@XZ,220,-4194084,Function,IMPORTED,OGREMAIN.DLL
?_getTexturePtr@TextureUnitState@Ogre@@QBEABV?$SharedPtr@VTexture@Ogre@@@2@XZ,221,-4194083,Function,IMPORTED,OGREMAIN.DLL
?copyTempVertexToBuffer@ManualObject@Ogre@@MAEXXZ,222,-4194082,Function,IMPORTED,OGREMAIN.DLL
?resizeTempIndexBufferIfNeeded@ManualObject@Ogre@@MAEXI@Z,223,-4194081,Function,IMPORTED,OGREMAIN.DLL
?resizeTempVertexBufferIfNeeded@ManualObject@Ogre@@MAEXI@Z,224,-4194080,Function,IMPORTED,OGREMAIN.DLL
?resetTempAreas@ManualObject@Ogre@@MAEXXZ,225,-4194079,Function,IMPORTED,OGREMAIN.DLL
?visitRenderables@ManualObject@Ogre@@UAEXPAVVisitor@Renderable@2@_N@Z,226,-4194078,Function,IMPORTED,OGREMAIN.DLL
?getShadowVolumeRenderableIterator@ManualObject@Ogre@@UAE?AV?$VectorIterator@V?$vector@PAVShadowRenderable@Ogre@@V?$STLAllocator@PAVShadowRenderable@Ogre@@V?$CategorisedAllocPolicy@$0A@@2@@2@@std@@@2@W4ShadowTechnique@2@PBVLight@2@PAVHardwareIndexBufferSharedPtr@2@PAI_NMK@Z,227,-4194077,Function,IMPORTED,OGREMAIN.DLL
?hasEdgeList@ManualObject@Ogre@@UAE_NXZ,228,-4194076,Function,IMPORTED,OGREMAIN.DLL
?getEdgeList@ManualObject@Ogre@@UAEPAVEdgeData@2@XZ,229,-4194075,Function,IMPORTED,OGREMAIN.DLL
?_updateRenderQueue@ManualObject@Ogre@@UAEXPAVRenderQueue@2@@Z,230,-4194074,Function,IMPORTED,OGREMAIN.DLL
?getBoundingRadius@ManualObject@Ogre@@UBEMXZ,231,-4194073,Function,IMPORTED,OGREMAIN.DLL
?getBoundingBox@ManualObject@Ogre@@UBEABVAxisAlignedBox@2@XZ,232,-4194072,Function,IMPORTED,OGREMAIN.DLL
?getMovableType@ManualObject@Ogre@@UBEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,233,-4194071,Function,IMPORTED,OGREMAIN.DLL
?getNumSections@ManualObject@Ogre@@QBEIXZ,234,-4194070,Function,IMPORTED,OGREMAIN.DLL
?convertToMesh@ManualObject@Ogre@@UAE?AV?$SharedPtr@VMesh@Ogre@@@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0@Z,235,-4194069,Function,IMPORTED,OGREMAIN.DLL
?setMaterialName@ManualObject@Ogre@@UAEXIABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0@Z,236,-4194068,Function,IMPORTED,OGREMAIN.DLL
?end@ManualObject@Ogre@@UAEPAVManualObjectSection@12@XZ,237,-4194067,Function,IMPORTED,OGREMAIN.DLL
?getCurrentIndexCount@ManualObject@Ogre@@UBEIXZ,238,-4194066,Function,IMPORTED,OGREMAIN.DLL
?getCurrentVertexCount@ManualObject@Ogre@@UBEIXZ,239,-4194065,Function,IMPORTED,OGREMAIN.DLL
?quad@ManualObject@Ogre@@UAEXIIII@Z,240,-4194064,Function,IMPORTED,OGREMAIN.DLL
?triangle@ManualObject@Ogre@@UAEXIII@Z,241,-4194063,Function,IMPORTED,OGREMAIN.DLL
?index@ManualObject@Ogre@@UAEXI@Z,242,-4194062,Function,IMPORTED,OGREMAIN.DLL
?colour@ManualObject@Ogre@@UAEXABVColourValue@2@@Z,243,-4194061,Function,IMPORTED,OGREMAIN.DLL
?colour@ManualObject@Ogre@@UAEXMMMM@Z,244,-4194060,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXM@Z,245,-4194059,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXMM@Z,246,-4194058,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXMMM@Z,247,-4194057,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXMMMM@Z,248,-4194056,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXABVVector2@2@@Z,249,-4194055,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXABVVector3@2@@Z,250,-4194054,Function,IMPORTED,OGREMAIN.DLL
?textureCoord@ManualObject@Ogre@@UAEXABVVector4@2@@Z,251,-4194053,Function,IMPORTED,OGREMAIN.DLL
?tangent@ManualObject@Ogre@@UAEXABVVector3@2@@Z,252,-4194052,Function,IMPORTED,OGREMAIN.DLL
?tangent@ManualObject@Ogre@@UAEXMMM@Z,253,-4194051,Function,IMPORTED,OGREMAIN.DLL
?normal@ManualObject@Ogre@@UAEXABVVector3@2@@Z,254,-4194050,Function,IMPORTED,OGREMAIN.DLL
?normal@ManualObject@Ogre@@UAEXMMM@Z,255,-4194049,Function,IMPORTED,OGREMAIN.DLL
?position@ManualObject@Ogre@@UAEXABVVector3@2@@Z,256,-4194048,Function,IMPORTED,OGREMAIN.DLL
?position@ManualObject@Ogre@@UAEXMMM@Z,257,-4194047,Function,IMPORTED,OGREMAIN.DLL
?beginUpdate@ManualObject@Ogre@@UAEXI@Z,258,-4194046,Function,IMPORTED,OGREMAIN.DLL
?begin@ManualObject@Ogre@@UAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@W4OperationType@RenderOperation@2@0@Z,259,-4194045,Function,IMPORTED,OGREMAIN.DLL
