path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,output,sha256_16,note
C:\Program Files (x86)\Battlezone\stockfiles\multg1.hgt,multg1.hgt,524288,4x4,trn-dir,262144,0,1383,806,256417,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multg1.hg2,3e11c7272fe168be,
C:\Program Files (x86)\Battlezone\stockfiles\multst01.hgt,multst01.hgt,524288,4x4,trn-dir,262144,1673,2539,717,255523,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst01.hg2,0b8bc5996a435add,
C:\Program Files (x86)\Battlezone\stockfiles\multst02.hgt,multst02.hgt,524288,4x4,trn-dir,262144,0,1892,1253,250540,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst02.hg2,8dfa9d4bec63d367,
C:\Program Files (x86)\Battlezone\stockfiles\multst03.hgt,multst03.hgt,524288,4x4,trn,262144,65,1402,579,255299,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst03.hg2,547c62393ca6c4a7,
C:\Program Files (x86)\Battlezone\stockfiles\multst04.hgt,multst04.hgt,524288,4x4,trn-dir,262144,190,1485,386,258563,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst04.hg2,d24a638f9cf40b86,
C:\Program Files (x86)\Battlezone\stockfiles\multst11.hgt,multst11.hgt,32768,1x1,trn-dir,16384,0,1679,966,12572,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst11.hg2,c55e3bb1926f03c8,
C:\Program Files (x86)\Battlezone\stockfiles\multst12.hgt,multst12.hgt,131072,2x2,trn-dir,65536,0,1600,1033,52404,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst12.hg2,44fcdec9305a404e,
C:\Program Files (x86)\Battlezone\stockfiles\multst24.hgt,multst24.hgt,131072,2x2,trn-dir,65536,0,939,860,48270,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst24.hg2,c175bbb904d15b30,
C:\Program Files (x86)\Battlezone\stockfiles\multst25.hgt,multst25.hgt,393216,4x3,trn-dir,196608,0,1971,1819,178931,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst25.hg2,b3865790f7dc4b2d,
C:\Program Files (x86)\Battlezone\stockfiles\multst26.hgt,multst26.hgt,524288,4x4,trn-dir,262144,0,1938,1672,232071,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst26.hg2,033146a42cef70e3,
C:\Program Files (x86)\Battlezone\stockfiles\multst28.hgt,multst28.hgt,524288,4x4,trn-dir,262144,0,4095,2479,249023,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst28.hg2,15abd55e7b187586,
C:\Program Files (x86)\Battlezone\stockfiles\multst29.hgt,multst29.hgt,524288,4x4,trn-dir,262144,50,2045,1437,246010,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst29.hg2,819954780eb38dce,
C:\Program Files (x86)\Battlezone\stockfiles\multst31.hgt,multst31.hgt,524288,4x4,trn-dir,262144,50,1940,724,252010,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multst31.hg2,dfab75f35bdd8bda,
