path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,sha256_16,note
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn10.hgt,misn10.hgt,524288,4x4,trn,262144,0,1626,1187,240981,0,parsed,fb01e1b6a549ab8a,
C:\Program Files (x86)\Battlezone\stockfiles\misn11.hgt,misn11.hgt,524288,4x4,inferred,262144,0,1783,1294,249210,1,parsed,56c4908458a47b6b,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn11.hgt,misn11.hgt,524288,4x4,trn,262144,0,1783,1294,249210,0,parsed,56c4908458a47b6b,
C:\Program Files (x86)\Battlezone\stockfiles\misn12.hgt,misn12.hgt,524288,4x4,inferred,262144,0,1474,1353,230447,1,parsed,0e25b8e1b4a5dbf2,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn12.hgt,misn12.hgt,524288,4x4,trn,262144,0,1474,1353,230447,0,parsed,0e25b8e1b4a5dbf2,
C:\Program Files (x86)\Battlezone\stockfiles\misn13.hgt,misn13.hgt,524288,4x4,inferred,262144,0,1474,1361,231762,1,parsed,a7566d83d7c3e246,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn13.hgt,misn13.hgt,524288,4x4,trn,262144,0,1474,1361,231762,0,parsed,a7566d83d7c3e246,
C:\Program Files (x86)\Battlezone\stockfiles\misn14.hgt,misn14.hgt,524288,4x4,inferred,262144,0,2750,895,255009,1,parsed,a9926b84f7ecb7c3,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn14.hgt,misn14.hgt,524288,4x4,trn,262144,0,2750,895,255009,0,parsed,a9926b84f7ecb7c3,
C:\Program Files (x86)\Battlezone\stockfiles\misn15.hgt,misn15.hgt,524288,4x4,inferred,262144,0,1110,567,256146,1,parsed,5179f83f7a4dcc1a,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn15.hgt,misn15.hgt,524288,4x4,trn,262144,0,1110,567,256146,0,parsed,5179f83f7a4dcc1a,
C:\Program Files (x86)\Battlezone\stockfiles\misn15b.hgt,misn15b.hgt,524288,4x4,inferred,262144,100,1654,1142,249526,1,parsed,f0f20f3a75c34740,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn15b.hgt,misn15b.hgt,524288,4x4,trn,262144,100,1654,1142,249526,0,parsed,f0f20f3a75c34740,
C:\Program Files (x86)\Battlezone\stockfiles\misn16.hgt,misn16.hgt,524288,4x4,inferred,262144,0,1041,809,254460,1,parsed,6b8641fcd40453f8,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn16.hgt,misn16.hgt,524288,4x4,trn,262144,0,1041,809,254460,0,parsed,6b8641fcd40453f8,
C:\Program Files (x86)\Battlezone\stockfiles\misn16b.hgt,misn16b.hgt,524288,4x4,inferred,262144,1,940,769,253977,1,parsed,20a681e8a1e3bdb0,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\misn16b.hgt,misn16b.hgt,524288,4x4,trn,262144,1,940,769,253977,0,parsed,20a681e8a1e3bdb0,
