name,address_va,address_rva,symbol_type,source,namespace
Quaternion,220,-4194084,Function,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
_getTexturePtr,221,-4194083,Function,IMPORTED,OGREMAIN.DLL::Ogre::TextureUnitState
copyTempVertexToBuffer,222,-4194082,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
resizeTempIndexBufferIfNeeded,223,-4194081,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
resizeTempVertexBufferIfNeeded,224,-4194080,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
resetTempAreas,225,-4194079,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
visitRenderables,226,-4194078,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getShadowVolumeRenderableIterator,227,-4194077,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
hasEdgeList,228,-4194076,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getEdgeList,229,-4194075,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
_updateRenderQueue,230,-4194074,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getBoundingRadius,231,-4194073,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getBoundingBox,232,-4194072,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getMovableType,233,-4194071,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getNumSections,234,-4194070,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
convertToMesh,235,-4194069,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
setMaterialName,236,-4194068,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
end,237,-4194067,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getCurrentIndexCount,238,-4194066,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
getCurrentVertexCount,239,-4194065,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
quad,240,-4194064,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
triangle,241,-4194063,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
index,242,-4194062,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
colour,243,-4194061,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
colour,244,-4194060,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,245,-4194059,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,246,-4194058,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,247,-4194057,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,248,-4194056,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,249,-4194055,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,250,-4194054,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
textureCoord,251,-4194053,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
tangent,252,-4194052,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
tangent,253,-4194051,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
normal,254,-4194050,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
normal,255,-4194049,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
position,256,-4194048,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
position,257,-4194047,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
beginUpdate,258,-4194046,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
begin,259,-4194045,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
estimateIndexCount,260,-4194044,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
estimateVertexCount,261,-4194043,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
clear,262,-4194042,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
~ManualObject,263,-4194041,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
ManualObject,264,-4194040,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
_notifyCurrentCamera,265,-4194039,Function,IMPORTED,OGREMAIN.DLL::Ogre::MovableObject
getDynamic,266,-4194038,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
setDynamic,267,-4194037,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
_releaseManualHardwareResources,268,-4194036,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
operator[],269,-4194035,Function,IMPORTED,OGREMAIN.DLL::Ogre::Matrix4
clearResourceGroup,270,-4194034,Function,IMPORTED,OGREMAIN.DLL::Ogre::ResourceGroupManager
initialiseResourceGroup,271,-4194033,Function,IMPORTED,OGREMAIN.DLL::Ogre::ResourceGroupManager
VertexData,272,-4194032,Function,IMPORTED,OGREMAIN.DLL::Ogre::VertexData
createManual,273,-4194031,Function,IMPORTED,OGREMAIN.DLL::Ogre::MeshManager
setMaterial,274,-4194030,Function,IMPORTED,OGREMAIN.DLL::Ogre::Entity
destroySubMesh,275,-4194029,Function,IMPORTED,OGREMAIN.DLL::Ogre::Mesh
createSubMesh,276,-4194028,Function,IMPORTED,OGREMAIN.DLL::Ogre::Mesh
getTypeSize,277,-4194027,Function,IMPORTED,OGREMAIN.DLL::Ogre::VertexElement
openResource,278,-4194026,Function,IMPORTED,OGREMAIN.DLL::Ogre::ResourceGroupManager
operator_delete,279,-4194025,Function,IMPORTED,OGREMAIN.DLL::Ogre::AllocatedObject<class_Ogre::CategorisedAllocPolicy<1>_>
operator_new,280,-4194024,Function,IMPORTED,OGREMAIN.DLL::Ogre::AllocatedObject<class_Ogre::CategorisedAllocPolicy<1>_>
setNull,281,-4194023,Function,IMPORTED,OGREMAIN.DLL::Ogre::SharedPtr<class_Ogre::HardwareVertexBuffer>
operator=,282,-4194022,Function,IMPORTED,OGREMAIN.DLL::Ogre::HardwareVertexBufferSharedPtr
HardwareIndexBufferSharedPtr,283,-4194021,Function,IMPORTED,OGREMAIN.DLL::Ogre::HardwareIndexBufferSharedPtr
HardwareVertexBufferSharedPtr,284,-4194020,Function,IMPORTED,OGREMAIN.DLL::Ogre::HardwareVertexBufferSharedPtr
getSizeInBytes,285,-4194019,Function,IMPORTED,OGREMAIN.DLL::Ogre::HardwareBuffer
AxisAlignedBox,286,-4194018,Function,IMPORTED,OGREMAIN.DLL::Ogre::AxisAlignedBox
removeWindowEventListener,287,-4194017,Function,IMPORTED,OGREMAIN.DLL::Ogre::WindowEventUtilities
removeFrameListener,288,-4194016,Function,IMPORTED,OGREMAIN.DLL::Ogre::Root
addFrameListener,289,-4194015,Function,IMPORTED,OGREMAIN.DLL::Ogre::Root
FrameListener,290,-4194014,Function,IMPORTED,OGREMAIN.DLL::Ogre::FrameListener
windowFocusChange,291,-4194013,Function,IMPORTED,OGREMAIN.DLL::Ogre::WindowEventListener
windowClosed,292,-4194012,Function,IMPORTED,OGREMAIN.DLL::Ogre::WindowEventListener
windowClosing,293,-4194011,Function,IMPORTED,OGREMAIN.DLL::Ogre::WindowEventListener
windowResized,294,-4194010,Function,IMPORTED,OGREMAIN.DLL::Ogre::WindowEventListener
windowMoved,295,-4194009,Function,IMPORTED,OGREMAIN.DLL::Ogre::WindowEventListener
~FrameListener,296,-4194008,Function,IMPORTED,OGREMAIN.DLL::Ogre::FrameListener
frameStarted,297,-4194007,Function,IMPORTED,OGREMAIN.DLL::Ogre::FrameListener
getExternalTextureSource,298,-4194006,Function,IMPORTED,OGREMAIN.DLL::Ogre::ExternalTextureSourceManager
setTextureTransform,299,-4194005,Function,IMPORTED,OGREMAIN.DLL::Ogre::TextureUnitState
setUseIdentityView,300,-4194004,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
setUseIdentityProjection,301,-4194003,Function,IMPORTED,OGREMAIN.DLL::Ogre::ManualObject
setEnabled,302,-4194002,Function,IMPORTED,OGREMAIN.DLL::Ogre::AnimationState
getMaterialName,303,-4194001,Function,IMPORTED,OGREMAIN.DLL::Ogre::SubMesh
getMillisecondsCPU,304,-4194000,Function,IMPORTED,OGREMAIN.DLL::Ogre::Timer
setCameraLightDirectionThreshold,305,-4193999,Function,IMPORTED,OGREMAIN.DLL::Ogre::LiSPSMShadowCameraSetup
getCameraLightDirectionThreshold,306,-4193998,Function,IMPORTED,OGREMAIN.DLL::Ogre::LiSPSMShadowCameraSetup
AxisAlignedBox,307,-4193997,Function,IMPORTED,OGREMAIN.DLL::Ogre::AxisAlignedBox
operator=,308,-4193996,Function,IMPORTED,OGREMAIN.DLL::Ogre::AxisAlignedBox
~AxisAlignedBox,309,-4193995,Function,IMPORTED,OGREMAIN.DLL::Ogre::AxisAlignedBox
Renderable,310,-4193994,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
~Renderable,311,-4193993,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
getTechnique,312,-4193992,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
preRender,313,-4193991,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
postRender,314,-4193990,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
getNumWorldTransforms,315,-4193989,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
setUseIdentityProjection,316,-4193988,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
getUseIdentityProjection,317,-4193987,Function,IMPORTED,OGREMAIN.DLL::Ogre::Renderable
